molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
BiF3,bismuth fluoride,7787-61-3,1123.15,1223.15,-1047.4221513304,1.96664251361464,-0.00075747891754213,0.0
BiF5,bismuth pentafluoride,7787-62-4,453.15,553.15,-1337.35186511333,6.86807145075005,-0.00546690396461836,0.0
BiI3,bismuth triiodide,7787-64-6,765.15,865.15,-2024.06640251561,5.69716693742413,-0.0030299244468564197,0.0
Bi2O3,bismuth oxide,1304-76-3,2113.15,2213.15,-3262.77031224342,3.18130657988116,-0.0006951700237924,0.0
BrCl2FSi,"silane, bromodichlorofluoro",28054-58-2,160.85,260.85,-239.711457460617,3.88784421151072,-0.00578806641582659,0.0
BrCl3Si,"silane, bromotrichloro",13465-74-2,211.15,311.15,-387.207998809032,4.50759974593353,-0.00583659166895447,0.0
BrCs,cesium bromide,7787-69-1,1523.15,1623.15,-2182.110355625,2.98284767222006,-0.0008782638966581429,0.0
BrCu,cuprous bromide,7787-70-4,1568.15,1668.15,-1820.4027918951,2.41447004304269,-0.000692559459324411,0.0
BrF3,bromine trifluoride,7787-71-5,281.92,381.92,-231.357236527765,1.9355859655933,-0.00211807971372811,0.0
BrF5,bromine pentafluoride,7789-30-2,100.0,200.0,-60.024851728744,1.96480838729443,-0.0035723788859898797,0.0
BrF5S,sulfur bromide pentafluoride,15607-89-3,194.15,294.15,-360.129529522579,4.53772410178098,-0.00614617919786129,0.0
BrK,potassium bromide,'7758-02-3',1603.15,1703.15,-2351.18310158504,3.05672492934383,-0.000859523923556458,0.0
BrLi,lithium bromide,7550-35-8,1533.15,1633.15,-1401.29117535981,1.90255314526182,-0.00055690458837392,0.0
BrNa,sodium bromide,7647-15-6,1613.82,1713.82,-1341.64443076288,1.74053058401115,-0.00048650243848211394,0.0
BrRb,rubidium bromide,7789-39-1,1563.15,1663.15,-1946.57062661526,2.590371267167,-0.000745151818648276,0.0
BrTl,thallous bromide,7789-40-4,1042.15,1142.15,-1862.46926303632,3.7820247149465,-0.0015536395329033,0.0
Br2,bromine,7726-95-6,150.0,1500.0,24.5872285449201,0.416815480987809,7.72585685662616e-05,-1.86704606816605e-08
Br2ClFSi,"silane, dibromochlorofluoro",28054-61-7,173.85,273.85,-284.066612937588,4.22170248419137,-0.00605088502822326,0.0
Br2Hg,mercuric bromide,7789-47-1,545.15,645.15,-1244.15709179372,5.03178598027983,-0.00349356799297357,0.0
Br2OS,thionyl bromide,507-16-4,223.15,323.15,-256.940544352784,2.8699327011457,-0.0036040847684863705,0.0
Br2Pb,lead bromide,10031-22-8,1115.15,1215.15,-2183.04769346136,4.12947835480008,-0.00160038691423481,0.0
Br2Sn,tin (II) bromide,10031-24-0,862.15,962.15,-1485.38502062143,3.68295698723413,-0.0017755179999200301,0.0
Br2Te,tellurium dibromide,7789-54-0,562.15,662.15,-680.893062258506,2.66398740771914,-0.0018069506936981199,0.0
Br3ClSi,"silane, tribromochloro",13465-76-4,252.35,352.35,-544.924992019492,5.17541827727785,-0.0060552454396605206,0.0
Br3OP,phosphorus (V) oxybromide,7789-59-5,329.15,429.15,-656.150940814044,4.61243985694127,-0.004574471741486921,0.0
Br3P,phosphorus tribromide,7789-60-8,233.15,333.15,-340.591568938901,3.63980828416389,-0.0044589100626778,0.0
Br3Sb,antimony tribromide,7789-61-9,503.15,603.15,-1198.55516959807,5.28348381657595,-0.0038955126569165705,0.0
Br4Ge,germanium bromide,13450-92-5,299.25,399.25,-756.732845388975,5.94719094754977,-0.00627010115714262,0.0
Br4Si,tetrabromosilane,7789-66-4,278.54,378.54,-639.228904392871,5.43308689450219,-0.0059896446779801,0.0
Br4Sn,stannic bromide,7789-67-5,302.25,402.25,-803.223576297923,6.25763400464924,-0.00655592876338317,0.0
Br4Ti,titanium (IV) bromide,7789-68-6,453.15,553.15,-1274.68755491096,6.2932201744058,-0.0050093291207560205,0.0
C,graphite,7782-42-5,500.0,4000.0,2.67726024839019,0.0708643378106002,-8.85444977207598e-07,0.0
CBrN,cyanogen bromide,506-68-3,325.15,425.15,-394.307216774141,2.80180588241063,-0.00280096559273281,0.0
CBr2O,carbonyl bromide,593-95-3,100.0,200.0,-59.2881480604294,2.0295623440608,-0.0036901133528378298,0.0
CClN,cyanogen chloride,506-77-4,266.65,366.65,-262.985688889963,2.32861814999491,-0.0026362709724837697,0.0
