molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CsI,cesium iodide,7789-17-5,894.15,2023.65,76.146,-0.0025229,-1.0173e-05,6.3563e-09
CsHO,cesium hydroxide,21351-79-1,615.45,2000.0,81.588,0.0,0.0,0.0
Cs2O4S,cesium sulfate,10294-54-9,1278.15,3000.0,206.69,0.0,0.0,0.0
Cu,copper,7440-50-8,1358.0,3000.0,32.8,0.0,0.0,0.0
BrCu,cuprous bromide,7787-70-4,777.15,2121.37,63.087,0.016494,-2.0332e-05,7.5408e-09
ClCu,cuprous chloride,7758-89-6,703.0,2435.0,66.944,0.0,0.0,0.0
Cl2Cu,cupric chloride,7447-39-4,906.15,1608.0,193.681,-0.18981,0.00011338,-1.4983e-08
CuF2,copper (II) fluoride,7789-19-7,1109.15,2500.0,100.416,0.0,0.0,0.0
CuI,copper iodide,7681-65-4,878.15,2096.61,68.36,0.0064358,-1.4481e-05,6.5529e-09
Cu2O,copper (I) oxide,1317-39-1,1516.7,2000.0,99.914,0.0,0.0,0.0
Cu2S,copper (I) sulfide,22205-45-4,1403.0,2000.0,89.1192,0.0,0.0,0.0
CDN,deuterium cyanide,3017-23-0,261.15,458.5,255.987,-1.3002,0.0029514,-1.4668e-06
D2,deuterium,7782-39-0,20.5,33.5,-198.36845572917,26.357435763889,-1.0261770833333,0.013590277777778
D2O,deuterium oxide,7789-20-0,277.0,573.0,-61.049900818516,1.2601278489892,-0.0035685585061808,3.2985147863808e-06
Dy,dysprosium,7429-91-6,1682.0,3000.0,49.91512,0.0,0.0,0.0
Er,erbium,7440-52-0,1795.0,3200.0,38.702,0.0,0.0,0.0
Eu,europium,7440-53-1,1090.0,1900.0,38.11624,0.0,0.0,0.0
FHO3S,fluorosulfonic acid,7789-21-1,298.15,303.15,108.72,0.0,0.0,0.0
FNO,nitrosyl fluoride,7789-25-5,139.15,335.04,136.591,-0.45808,0.00083378,1.7172e-06
F2,fluorine,7782-41-4,53.48,137.09,83.829,-0.78518,0.0052305,4.6617e-06
F2O,fluorine oxide,7783-41-7,49.25,204.35,58.551,0.056117,-0.0017926,1.1093e-05
Fe,iron,7439-89-6,1809.0,4000.0,46.024,0.0,0.0,0.0
Br2Fe,iron (II) bromide,7789-46-0,964.15,2000.0,106.692,0.0,0.0,0.0
C4H2FeO4,iron hydrocarbonyl,17440-90-3,298.15,303.15,160.91,0.0,0.0,0.0
C5FeO5,iron pentacarbonyl,13463-40-6,253.15,700.0,233.785,0.0,0.0,0.0
Cl2Fe,ferrous chloride,7758-94-3,950.0,2110.0,102.17,0.0,0.0,0.0
Cl3Fe,ferric chloride,7705-08-23 00:00:00,577.0,948.15,133.89,0.0,0.0,0.0
F2Fe,iron (II) fluoride,7789-28-8,1373.15,3000.0,98.324,0.0,0.0,0.0
FeI2,iron (II) iodide,7783-86-0,860.15,2000.0,112.968,0.0,0.0,0.0
FeO,iron (II) oxide,1345-25-1,1650.0,4000.0,68.199,0.0,0.0,0.0
FeS,iron (II) sulfide,1317-37-9,1463.0,3800.0,62.551,0.0,0.0,0.0
Fe3O4,"iron (II,III) oxide",1317-61-9,1870.0,200.0,213.384,0.0,0.0,0.0
Ga,gallium,7440-55-3,302.9,700.0,43.800872616304,-0.08910702535313,0.00015418859195069,-8.8659956049425e-08
C3H9Ga,"gallium, trimethyl",1445-79-0,273.15,328.95,96.178,0.20774,0.0,0.0
Cl3Ga,gallium trichloride,13450-90-3,350.9,575.0,128.03,0.0,0.0,0.0
GaH3,gallium (III) hydride,13572-93-5,298.15,303.15,53.79,0.0,0.0,0.0
Gd,gadolinium,7440-54-2,1585.0,4000.0,37.15392,0.0,0.0,0.0
Ge,germanium,7440-56-4,1211.4,3000.0,27.6,0.0,0.0,0.0
Br4Ge,germanium bromide,13450-92-5,299.25,703.0,209.183,-0.33541,0.00027356,2.9745e-07
Cl3FGe,"germane, trichlorofluoro",24422-20-6,298.15,303.15,141.39,0.0,0.0,0.0
Cl4Ge,germanium chloride,10038-98-9,223.65,545.3,182.72,-0.31903,0.00023749,7.2826e-07
Br3GeH,"germane, tribromo",14779-70-5,298.15,303.15,113.96,0.0,0.0,0.0
Cl3GeH,"germane, trichloro",1184-65-2,202.05,531.79,140.72,-0.14616,-0.00011764,9.4426e-07
Br2GeH2,"germane, dibromo",13769-36-3,298.15,303.15,96.97,0.0,0.0,0.0
Cl2GeH2,"germane, dichloro",15230-48-5,298.15,303.15,108.41,0.0,0.0,0.0
