molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
C12H26,"3,4-dimethyl-4-propylheptane",62185-35-7,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"3,5-dimethyl-4-propylheptane",62185-36-8,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"2,2-dimethyl-3-isopropylheptane",62185-37-9,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2-dimethyl-4-isopropylheptane",62185-38-0,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,3-dimethyl-3-isopropylheptane",62185-39-1,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,3-dimethyl-4-isopropylheptane",62185-40-4,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2,4-dimethyl-3-isopropylheptane",62185-41-5,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2,4-dimethyl-4-isopropylheptane",62185-42-6,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,5-dimethyl-3-isopropylheptane",62185-43-7,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2,5-dimethyl-4-isopropylheptane",62185-44-8,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2,6-dimethyl-3-isopropylheptane",62185-45-9,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2,6-dimethyl-4-isopropylheptane",35866-89-8,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"3,3-dimethyl-4-isopropylheptane",62185-46-0,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"3,4-dimethyl-4-isopropylheptane",62185-47-1,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
