molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
BrH2LiO,lithium bromide monohydrate,13453-70-8,150.0,1500.0,49.285434591447,0.031085665683132,0.00016362464530109,-4.3658218643425E-07,4.940285972865E-10,-2.684681816509E-13,5.6396025224327E-17
BrLiO3,lithium bromate,13550-28-2,150.0,1500.0,60.46421250292,-0.0047614529375717,0.00038839343464826,-8.8354744283806E-07,8.9186922684748E-10,-4.3648744678869E-13,8.3839468568228E-17
CF3LiO3S,lithium trifluoromethanesulfonate,33454-82-9,150.0,1500.0,124.46607089621,-0.46995030022533,0.0027332643001962,-5.3446924296978E-06,5.1067693134694E-09,-2.411798593526E-12,4.4961163890326E-16
CHLiO3,lithium hydrogen carbonate,10377-37-4,150.0,1500.0,68.430594528994,-0.17072680235702,0.0011171558173856,-2.192088338851E-06,2.0993167144217E-09,-9.9627561376909E-13,1.8695762864736E-16
CH3Li,"lithium, methyl",917-54-4,150.0,1500.0,44.515452947057,-0.075400570608797,0.00057685751570111,-1.1676298939174E-06,1.1765002476744E-09,-5.8870006759484E-13,1.1582731580201E-16
CH3LiO,lithium methoxide,865-34-9,150.0,1500.0,57.251816613544,-0.13487968366945,0.00089238702769377,-1.7451230816654E-06,1.7014760839919E-09,-8.2825634816782E-13,1.5951418520861E-16
CH3LiO3,lithium formate monohydrate,6108-23-2,150.0,1500.0,82.724543953587,-0.25383790990931,0.0015234460522884,-2.9001094585391E-06,2.751427758154E-09,-1.3073689101267E-12,2.4688792418788E-16
CLiN,lithium cyanide,2408-36-8,150.0,1500.0,35.982537500401,-0.0069690134086235,0.0002741384016208,-6.7830418082041E-07,7.2664830636052E-10,-3.651221243292E-13,7.0396073078493E-17
C2F3LiO2,lithium trifluoroacetate,2923-17-3,150.0,1500.0,113.00703993646,-0.51111312125067,0.0028533470673601,-5.5808275397061E-06,5.3534469604698E-09,-2.5348608696337E-12,4.7297046284048E-16
C2H3LiO2,lithium acetate,546-89-4,150.0,1500.0,86.327634237766,-0.34312611025768,0.0019330803253389,-3.6929972623992E-06,3.5160239426569E-09,-1.6685174092825E-12,3.1357887971681E-16
C2H5LiO,lithium ethoxide,2388-07-0,150.0,1500.0,87.885219999877,-0.36675810481643,0.0020238410485946,-3.8235251951226E-06,3.6431591509417E-09,-1.740054425531E-12,3.2982230594562E-16
C2H6LiN,lithium dimethylamide,3585-33-9,150.0,1500.0,95.203839722899,-0.40506964944232,0.0022181728912095,-4.1727485311309E-06,3.9725534579821E-09,-1.8991067929226E-12,3.6056478459342E-16
C2H7LiO4,lithium acetate dihydrate,6108-17-4,150.0,1500.0,140.38826041829,-0.62830655145693,0.0033767198189962,-6.2640258769766E-06,5.8701977024364E-09,-2.7698165629762E-12,5.2081320957729E-16
C3H5LiO3,lithium d-lactate,27848-81-3,150.0,1500.0,129.69740128485,-0.63448364436948,0.0033800638577421,-6.3488925625006E-06,5.9826828447053E-09,-2.819871766572E-12,5.2757386972865E-16
C3H7LiO,lithium isopropoxide,2388-10-5,150.0,1500.0,118.51862337118,-0.59863652571225,0.0031552950682083,-5.9019273056767E-06,5.5848422146801E-09,-2.6518525011876E-12,5.0013042633446E-16
C3H9LiOSi,lithium trimethylsilanolate,2004-14-0,150.0,1500.0,148.85396478,-0.75412820698238,0.0039539660469773,-7.3410675642405E-06,6.902172626429E-09,-3.2627909970091E-12,6.1366413006758E-16
C4H5LiO3,lithium acetoacetate,3483-11-2,150.0,1500.0,146.03685524047,-0.78325095786094,0.0041052276432043,-7.7192735550463E-06,7.2722548665558E-09,-3.4205765468451E-12,6.3795169477469E-16
C4H9Li,N-butyllithium,109-72-8,150.0,1500.0,136.4156630843,-0.77103583368498,0.0039712195765272,-7.4028362300422E-06,7.0015494438125E-09,-3.3240942971749E-12,6.2675167750008E-16
C4H9Li,sec-butyllithium,598-30-1,150.0,1500.0,136.4156630843,-0.77103583368498,0.0039712195765272,-7.4028362300422E-06,7.0015494438125E-09,-3.3240942971749E-12,6.2675167750008E-16
C4H9Li,tert-butyllithium,594-19-4,150.0,1500.0,136.4156630843,-0.77103583368498,0.0039712195765272,-7.4028362300422E-06,7.0015494438125E-09,-3.3240942971749E-12,6.2675167750008E-16
C4H9LiO,lithium tert-butoxide,1907-33-1,150.0,1500.0,149.15202674793,-0.83051494669793,0.0042867490882757,-7.9803294172401E-06,7.5265252795224E-09,-3.5636505774254E-12,6.7043854684097E-16
