molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
C7H17N,"dimethyl-2,2-dimethylpropylamine",10076-31-0,203.04,482.27,148.95426422178,0.62364419471097,-0.0017536228698714,2.5553853308485e-06,0.0
C7H17N,methylethylbutylamine,66225-40-9,200.62,475.39,142.33206690382,0.77300254999993,-0.0022653764852317,3.2495082048877e-06,0.0
C7H17N,methylethyl-sec-butylamine,66225-41-0,185.62,460.34,143.89211787151,0.72870758093153,-0.0021930050503857,3.2691793389484e-06,0.0
C7H17N,methylethylisobutylamine,60247-14-5,185.62,465.23,144.49792840536,0.72285701202382,-0.0021586740136339,3.2079537867022e-06,0.0
C7H17N,methylethyl-tert-butylamine,52841-28-8,203.04,473.19,142.2867041214,0.6757624404658,-0.0019435525967393,2.8402051678002e-06,0.0
C7H17N,methyldipropylamine,3405-42-3,200.62,471.86,136.88974191353,0.81651705802094,-0.0024188918857552,3.4712176651226e-06,0.0
C7H17N,methylpropylisopropylamine,66225-42-1,185.62,472.39,145.39923017943,0.71450945468504,-0.0021101318635928,3.1214700475961e-06,0.0
C7H17N,methyldiisopropylamine,10342-97-9,170.62,473.48,152.67448319676,0.62330566386924,-0.0018293489519198,2.7922300854605e-06,0.0
C7H17N,diethylpropylamine,4458-31-5,200.62,469.3,137.3049977822,0.81379898656921,-0.0024179546306293,3.4765226833437e-06,0.0
C7H17N,diethylisopropylamine,6006-15-1,185.62,467.07,144.02478230756,0.72618757955063,-0.0021644157267138,3.2117660767899e-06,0.0
C7H17N,N-tert-butylisopropylamine,7515-80-2,227.98,468.25,124.29800044251,0.56447313051784,-0.0015739981288268,2.2916485914317e-06,0.0
C7H17N,(S)-2-heptylamine,44745-29-1,254.15,490.75,90.988445501973,1.2384153793583,-0.0035951637043411,4.5091370674003e-06,0.0
C7H17N,(R)-2-heptylamine,6240-90-0,254.15,490.75,90.988445501973,1.2384153793583,-0.0035951637043411,4.5091370674003e-06,0.0
C7H17N,N-propylbutylamine,20193-21-9,227.98,486.0,117.7694032302,0.92848630137769,-0.0027059989651201,3.601097113081e-06,0.0
C7H17N,3-aminoheptane,28292-42-4,254.15,489.75,97.497336979815,1.1646441519701,-0.0033688827137026,4.2484892818714e-06,0.0
C7H17N,5-methyl-2-hexylamine,28292-43-5,254.15,481.41,107.54884248019,0.92099019374843,-0.0026320931438655,3.4504919190802e-06,0.0
C7H18N2,"N,N-diethyl-1,3-propanediamine",104-78-9,302.05,565.33,205.05087903913,0.52628439042278,-0.0011637871118419,1.5090169686241e-06,0.0
C7H18N2,"1,7-heptanediamine",646-19-5,302.05,593.08,263.48354191465,1.0970050218284,-0.0026097987449081,2.9963520390263e-06,0.0
C7H18N2,"N,N,N',N'-tetramethyl-1,3-propanediamine",110-95-2,302.05,553.08,183.62882206485,0.36309325054474,-0.00076126773815918,1.0494931918177e-06,0.0
C7H18N2,"N,N-diethyl-N'-methylethylenediamine",104-79-0,302.05,560.33,196.17494044221,0.45326414314285,-0.00098243275036128,1.3053412059075e-06,0.0
C7H18N2,"N,N,2,2-tetramethyl-1,3-propanediamine",53369-71-4,302.05,559.33,192.62917189743,0.45099551002049,-0.00097741105954045,1.3035869048829e-06,0.0
C7H18N2,3-diethylaminopropylamine,14642-66-1,302.05,566.23,208.70625895172,0.52733883100206,-0.0011657299476835,1.5066663446457e-06,0.0
C8H4Cl2O2,isophthaloyl chloride,99-63-8,317.0,658.5,162.33244916829,0.63457228588592,-0.001366631998361,1.4402846335145e-06,0.0
C8H4O3,phthalic anhydride,85-44-9,404.26,674.33,65.638858603257,0.99112788845895,-0.0020408325767158,1.7805433071893e-06,0.0
C8H6,ethynylbenzene,536-74-3,244.0,448.0,183.372,-0.16806,0.00051645,0.0,0.0
C8H6O4,isophthalic acid,121-91-5,619.15,880.0,-140.82088447879,2.0280949919892,-0.0030383103041978,1.7508042296263e-06,0.0
C8H6O4,phthalic acid,88-99-3,464.15,699.0,-152.2526831406,2.4834516754927,-0.0048257243944506,3.6292470171368e-06,0.0
C8H6O4,terephthalic acid,100-21-0,700.15,972.5,-180.07218740506,2.0227543813798,-0.0027171301406386,1.3940267872923e-06,0.0
C8H6S,benzothiophene,95-15-8,306.0,679.0,36.583,1.024,-0.0022186,1.9892e-06,0.0
C8H7N,indole,120-72-9,325.0,658.08,135.21250673509,0.46665386955542,-0.00098184601202305,1.0626947042225e-06,0.0
C8H8,styrene,100-42-5,245.35,440.08,461.88546182145,-2.9253878736284,0.0080864418127975,-2.446595448104e-06,-8.0153602107386e-09
C8H8,"1,3,5,7-cyclooctatetraene",629-20-9,267.0,443.0,200.613,-0.27092,0.00073503,0.0,0.0
C8H8Cl2,"1,2-bis(chloromethyl)benzene",612-12-4,328.15,623.83,141.67517974265,0.635097841138,-0.0014317793088495,1.6087359673432e-06,0.0
C8H8Cl2,"1,3-bis(chloromethyl)benzene",626-16-4,307.35,629.83,160.06503163911,0.63284877786819,-0.001436216987651,1.6199384714583e-06,0.0
C8H8Cl2,"1,4-bis(chloromethyl)benzene",623-25-6,373.15,629.83,124.13955369997,0.87944556387044,-0.0019956108108821,2.0775777959622e-06,0.0
